Coin 0 -1 -1
DWC1D 0 -1 -1
DWC1L 0 -1 -1
DWC1R 0 -1 -1
DWC1U 0 -1 -1
DWC2D 0 -1 -1
DWC2L 0 -1 -1
DWC2R 0 -1 -1
DWC2U 0 -1 -1
T1-C 1 1 3
T1-S 0 1 3
T2-C 1 2 3
T2-S 0 2 3
T3-C 1 3 3
T3-S 0 3 3
T4-C 1 1 2
T4-S 0 1 2
T5-C 1 2 2
T5-S 0 2 2
T6-C 1 3 2
T6-S 0 3 2
T7-C 1 1 1
T7-S 0 1 1
T8-C 1 2 1
T8-S 0 2 1
T9-C 1 3 1
T9-S 0 3 1
T1 0 -1 -1
T1NIM 0 -1 -1
T2 0 -1 -1
T2NIM 0 -1 -1
TC 0 -1 -1
IT 0 -1 -1
VETO 0 -1 -1
VETONIM 0 -1 -1
