8 2 T1-S
8 5 T2-S
8 8 T3-S
8 11 T4-S
8 14 T5-S
8 18 T6-S
8 21 T7-S
8 24 T8-S
8 27 T9-S
9 2 T1-C
9 5 T2-C
9 8 T3-C
9 11 T4-C
9 14 T5-C
9 18 T6-C
9 21 T7-C
9 24 T8-C
9 27 T9-C
13 2 T1
13 4 T2
13 10 T1NIm
13 12 T2NIM
13 16 Coin
13 2 DWC1L
13 4 DWC1R
13 6 DWC1U
13 8 DWC1D
13 10 DWC2L
13 12 DWC2R
13 14 DWC2U
13 16 DWC2D

